ArraySize,K,Comparisons
7101,5,16450
7101,10,36948
7101,50,16482
7101,500,21620
7201,1,158709
7201,5,70928
7201,10,16002
7201,50,16883
7201,500,20641
7301,1,16296
7301,5,17369
7301,10,31459
7301,50,16367
7301,500,20814
7401,1,206754
7401,5,54202
7401,10,15717
7401,50,15568
7401,500,25613
7501,1,20749
7501,5,49157
7501,10,36225
7501,50,17985
7501,500,24156
7601,1,32704
7601,5,72454
7601,10,16425
7601,50,18322
7601,500,23253
7701,1,187780
7701,5,16510
7701,10,109892
7701,50,19465
7701,500,28691
7801,1,249469
7801,5,71350
7801,10,35337
7801,50,17467
7801,500,24109
7901,1,88997
7901,5,70726
7901,10,18639
7901,50,18564
7901,500,23559
8001,1,19414
8001,5,18863
8001,10,17705
8001,50,18536
8001,500,24172
8101,1,110350
8101,5,274207
8101,10,17452
8101,50,17562
8101,500,25322
8201,1,99960
8201,5,51599
8201,10,18661
8201,50,20143
8201,500,23194
8301,1,261938
8301,5,36951
8301,10,18810
8301,50,19588
8301,500,25055
8401,1,34133
8401,5,19217
8401,10,19277
8401,50,18612
8401,500,22306
8501,1,19445
8501,5,114375
8501,10,20023
8501,50,18340
8501,500,25645
8601,1,158103
8601,5,131934
8601,10,19431
8601,50,18556
8601,500,23559
8701,1,77904
8701,5,55326
8701,10,73804
8701,50,20102
8701,500,26519
8801,1,118964
8801,5,19802
8801,10,41582
8801,50,18894
8801,500,26121
8901,1,149729
8901,5,261828
8901,10,41615
8901,50,20104
8901,500,26624
9001,1,19784
9001,5,16778
9001,10,19922
9001,50,17179
9001,500,26634
9101,1,341136
9101,5,58036
9101,10,18175
9101,50,23166
9101,500,25966
9201,1,212424
9201,5,21625
9201,10,21135
9201,50,22852
9201,500,24891
9301,1,20513
9301,5,41400
9301,10,22441
9301,50,20581
9301,500,29402
9401,1,146254
9401,5,22870
9401,10,21484
9401,50,23846
9401,500,24531
9501,1,301174
9501,5,18706
9501,10,82711
9501,50,21017
9501,500,31189
9601,1,114175
9601,5,17541
9601,10,21916
9601,50,19722
9601,500,29259
9701,1,81510
9701,5,21014
9701,10,63486
9701,50,21248
9701,500,30098
9801,1,192730
9801,5,90399
9801,10,91090
9801,50,24501
9801,500,30936
9901,1,21809
9901,5,108672
9901,10,23012
9901,50,20146
9901,500,28099
