ArraySize,K,Comparisons
5901,1/4,21364
5901,1/2,23450
5901,3/4,24595
5901,4/4,28806
6001,1,65826
6001,1/4,23324
6001,1/2,24609
6001,3/4,24646
6001,4/4,70669
6101,1,40999
6101,1/4,25536
6101,1/2,25262
6101,3/4,21947
6101,4/4,39587
6201,1,60915
6201,1/4,23546
6201,1/2,22925
6201,3/4,24355
6201,4/4,16239
6301,1,99567
6301,1/4,27075
6301,1/2,25993
6301,3/4,23796
6301,4/4,58568
6401,1,126734
6401,1/4,25965
6401,1/2,26230
6401,3/4,23152
6401,4/4,84814
6501,1,13424
6501,1/4,23863
6501,1/2,21911
6501,3/4,25125
6501,4/4,30315
6601,1,392849
6601,1/4,23660
6601,1/2,23358
6601,3/4,24495
6601,4/4,184229
6701,1,385326
6701,1/4,23636
6701,1/2,26085
6701,3/4,24680
6701,4/4,63803
6801,1,124981
6801,1/4,26700
6801,1/2,23752
6801,3/4,26056
6801,4/4,14550
6901,1,15808
6901,1/4,27067
6901,1/2,26882
6901,3/4,25630
6901,4/4,99812
7001,1,52179
7001,1/4,25970
7001,1/2,25949
7001,3/4,24954
7001,4/4,44350
7101,1,110117
7101,1/4,24642
7101,1/2,26744
7101,3/4,25791
7101,4/4,18522
7201,1,15194
7201,1/4,29357
7201,1/2,24841
7201,3/4,25535
7201,4/4,172152
7301,1,144527
7301,1/4,24511
7301,1/2,24880
7301,3/4,26449
7301,4/4,34866
7401,1,85234
7401,1/4,25809
7401,1/2,27280
7401,3/4,28194
7401,4/4,34972
7501,1,17380
7501,1/4,28592
7501,1/2,29630
7501,3/4,27353
7501,4/4,66388
7601,1,85125
7601,1/4,30569
7601,1/2,27853
7601,3/4,29745
7601,4/4,55249
7701,1,332919
7701,1/4,29801
7701,1/2,28199
7701,3/4,30239
7701,4/4,85966
7801,1,17298
7801,1/4,28071
7801,1/2,34155
7801,3/4,27150
7801,4/4,17634
7901,1,555246
7901,1/4,28896
7901,1/2,31073
7901,3/4,30250
7901,4/4,16125
8001,1,144129
8001,1/4,27923
8001,1/2,32232
8001,3/4,31216
8001,4/4,55434
8101,1,88581
8101,1/4,29422
8101,1/2,33232
8101,3/4,28898
8101,4/4,75226
8201,1,58711
8201,1/4,28257
8201,1/2,27401
8201,3/4,30057
8201,4/4,18933
8301,1,72589
8301,1/4,28376
8301,1/2,30044
8301,3/4,29538
8301,4/4,18039
8401,1,17306
8401,1/4,31190
8401,1/2,31744
8401,3/4,33796
8401,4/4,18373
8501,1,134887
8501,1/4,30379
8501,1/2,30793
8501,3/4,29482
8501,4/4,152687
8601,1,18321
8601,1/4,29562
8601,1/2,33570
8601,3/4,27651
8601,4/4,17960
8701,1,150116
8701,1/4,32913
8701,1/2,31909
8701,3/4,31707
8701,4/4,268521
8801,1,338961
8801,1/4,28229
8801,1/2,31416
8801,3/4,30375
8801,4/4,276048
8901,1,42198
8901,1/4,31604
8901,1/2,33573
8901,3/4,33546
8901,4/4,57437
9001,1,39139
9001,1/4,35177
9001,1/2,32026
9001,3/4,32970
9001,4/4,21753
9101,1,496479
9101,1/4,31962
9101,1/2,33785
9101,3/4,31913
9101,4/4,20070
9201,1,41110
9201,1/4,32934
9201,1/2,35704
9201,3/4,32313
9201,4/4,36911
9301,1,222367
9301,1/4,38235
9301,1/2,34299
9301,3/4,33781
9301,4/4,22401
9401,1,20451
9401,1/4,35070
9401,1/2,34507
9401,3/4,34696
9401,4/4,20939
9501,1,416719
9501,1/4,37265
9501,1/2,33770
9501,3/4,33025
9501,4/4,20328
9601,1,259961
9601,1/4,32254
9601,1/2,35511
9601,3/4,37065
9601,4/4,45369
9701,1,258535
9701,1/4,37378
9701,1/2,33677
9701,3/4,33528
9701,4/4,22587
9801,1,399051
9801,1/4,33177
9801,1/2,35023
9801,3/4,35871
9801,4/4,66449
9901,1,163099
9901,1/4,37845
9901,1/2,32909
9901,3/4,38863
9901,4/4,23148
